"年月","エリア","電源種別","前年度平均価格","当年度月間平均価格","前年度月間平均価格"
"2025/04","北海道","太陽光","9.30","6.37","5.03"
"2025/04","北海道","風力","12.33","9.53","9.66"
"2025/04","北海道","水力","12.64","9.95","9.94"
"2025/04","北海道","バイオマス","12.64","9.95","9.94"
"2025/04","北海道","地熱","12.64","9.95","9.94"
"2025/04","東北","太陽光","9.18","5.91","5.36"
"2025/04","東北","風力","12.66","9.93","10.23"
"2025/04","東北","水力","12.71","10.38","9.88"
"2025/04","東北","バイオマス","12.71","10.38","9.88"
"2025/04","東北","地熱","12.71","10.38","9.88"
"2025/04","東京","太陽光","11.43","7.76","7.53"
"2025/04","東京","風力","13.68","11.43","11.31"
"2025/04","東京","水力","13.68","11.48","10.92"
"2025/04","東京","バイオマス","13.68","11.48","10.92"
"2025/04","東京","地熱","13.68","11.48","10.92"
"2025/04","中部","太陽光","9.73","5.96","5.31"
"2025/04","中部","風力","13.31","10.00","10.56"
"2025/04","中部","水力","12.86","9.89","9.75"
"2025/04","中部","バイオマス","12.86","9.89","9.75"
"2025/04","中部","地熱","12.86","9.89","9.75"
"2025/04","北陸","太陽光","9.12","5.68","4.84"
"2025/04","北陸","風力","12.11","9.34","10.03"
"2025/04","北陸","水力","11.81","9.58","8.81"
"2025/04","北陸","バイオマス","11.81","9.58","8.81"
"2025/04","北陸","地熱","11.81","9.58","8.81"
"2025/04","関西","太陽光","9.26","5.69","3.24"
"2025/04","関西","風力","12.19","9.53","8.22"
"2025/04","関西","水力","11.71","9.46","7.72"
"2025/04","関西","バイオマス","11.71","9.46","7.72"
"2025/04","関西","地熱","11.71","9.46","7.72"
"2025/04","中国","太陽光","9.20","5.72","3.13"
"2025/04","中国","風力","11.90","9.76","8.16"
"2025/04","中国","水力","11.66","9.40","7.74"
"2025/04","中国","バイオマス","11.66","9.40","7.74"
"2025/04","中国","地熱","11.66","9.40","7.74"
"2025/04","四国","太陽光","8.21","4.76","2.91"
"2025/04","四国","風力","10.61","9.67","7.92"
"2025/04","四国","水力","10.67","8.81","7.59"
"2025/04","四国","バイオマス","10.67","8.81","7.59"
"2025/04","四国","地熱","10.67","8.81","7.59"
"2025/04","九州","太陽光","7.40","3.40","3.12"
"2025/04","九州","風力","11.39","9.29","8.45"
"2025/04","九州","水力","10.86","8.53","7.74"
"2025/04","九州","バイオマス","10.86","8.53","7.74"
"2025/04","九州","地熱","10.86","8.53","7.74"
"2025/04","沖縄","太陽光","10.27","5.45","6.21"
"2025/04","沖縄","風力","12.82","10.40","9.13"
"2025/04","沖縄","水力","12.29","9.82","9.44"
"2025/04","沖縄","バイオマス","12.29","9.82","9.44"
"2025/04","沖縄","地熱","12.29","9.82","9.44"
"2025/05","北海道","太陽光","9.30","4.63","6.29"
"2025/05","北海道","風力","12.33","8.33","10.39"
"2025/05","北海道","水力","12.64","8.49","10.71"
"2025/05","北海道","バイオマス","12.64","8.49","10.71"
"2025/05","北海道","地熱","12.64","8.49","10.71"
"2025/05","東北","太陽光","9.18","5.78","5.92"
"2025/05","東北","風力","12.66","9.65","10.49"
"2025/05","東北","水力","12.71","9.81","10.64"
"2025/05","東北","バイオマス","12.71","9.81","10.64"
"2025/05","東北","地熱","12.71","9.81","10.64"
"2025/05","東京","太陽光","11.43","8.60","7.25"
"2025/05","東京","風力","13.68","11.13","11.92"
"2025/05","東京","水力","13.68","11.22","11.29"
"2025/05","東京","バイオマス","13.68","11.22","11.29"
"2025/05","東京","地熱","13.68","11.22","11.29"
"2025/05","中部","太陽光","9.73","5.47","4.30"
"2025/05","中部","風力","13.31","8.93","10.03"
"2025/05","中部","水力","12.86","8.62","9.50"
"2025/05","中部","バイオマス","12.86","8.62","9.50"
"2025/05","中部","地熱","12.86","8.62","9.50"
"2025/05","北陸","太陽光","9.12","5.01","3.18"
"2025/05","北陸","風力","12.11","7.94","9.15"
"2025/05","北陸","水力","11.81","7.87","8.43"
"2025/05","北陸","バイオマス","11.81","7.87","8.43"
"2025/05","北陸","地熱","11.81","7.87","8.43"
"2025/05","関西","太陽光","9.26","4.79","3.20"
"2025/05","関西","風力","12.19","8.27","9.25"
"2025/05","関西","水力","11.71","7.90","8.43"
"2025/05","関西","バイオマス","11.71","7.90","8.43"
"2025/05","関西","地熱","11.71","7.90","8.43"
"2025/05","中国","太陽光","9.20","4.61","3.38"
"2025/05","中国","風力","11.90","8.26","8.75"
"2025/05","中国","水力","11.66","7.88","8.43"
"2025/05","中国","バイオマス","11.66","7.88","8.43"
"2025/05","中国","地熱","11.66","7.88","8.43"
"2025/05","四国","太陽光","8.21","4.14","3.02"
"2025/05","四国","風力","10.61","8.13","8.68"
"2025/05","四国","水力","10.67","7.58","8.14"
"2025/05","四国","バイオマス","10.67","7.58","8.14"
"2025/05","四国","地熱","10.67","7.58","8.14"
"2025/05","九州","太陽光","7.40","3.34","2.90"
"2025/05","九州","風力","11.39","8.70","8.88"
"2025/05","九州","水力","10.86","7.37","8.20"
"2025/05","九州","バイオマス","10.86","7.37","8.20"
"2025/05","九州","地熱","10.86","7.37","8.20"
"2025/05","沖縄","太陽光","10.27","6.59","5.49"
"2025/05","沖縄","風力","12.82","9.58","9.87"
"2025/05","沖縄","水力","12.29","8.92","9.62"
"2025/05","沖縄","バイオマス","12.29","8.92","9.62"
"2025/05","沖縄","地熱","12.29","8.92","9.62"
"2025/06","北海道","太陽光","9.30","6.33","8.59"
"2025/06","北海道","風力","12.33","8.79","11.35"
"2025/06","北海道","水力","12.64","9.35","11.51"
"2025/06","北海道","バイオマス","12.64","9.35","11.51"
"2025/06","北海道","地熱","12.64","9.35","11.51"
"2025/06","東北","太陽光","9.18","7.44","8.46"
"2025/06","東北","風力","12.66","10.32","11.75"
"2025/06","東北","水力","12.71","11.05","11.55"
"2025/06","東北","バイオマス","12.71","11.05","11.55"
"2025/06","東北","地熱","12.71","11.05","11.55"
"2025/06","東京","太陽光","11.43","11.79","10.40"
"2025/06","東京","風力","13.68","12.62","12.84"
"2025/06","東京","水力","13.68","12.98","12.40"
"2025/06","東京","バイオマス","13.68","12.98","12.40"
"2025/06","東京","地熱","13.68","12.98","12.40"
"2025/06","中部","太陽光","9.73","9.05","7.21"
"2025/06","中部","風力","13.31","10.11","11.27"
"2025/06","中部","水力","12.86","11.06","10.92"
"2025/06","中部","バイオマス","12.86","11.06","10.92"
"2025/06","中部","地熱","12.86","11.06","10.92"
"2025/06","北陸","太陽光","9.12","9.56","7.33"
"2025/06","北陸","風力","12.11","10.02","10.21"
