Year,Balancing_Cost_JPY_kWh,FIP_Premium_JPY_kWh,Sell_Price_JPY_kWh,Generation_kWh,Revenue_JPY
1,2.0,18.943599039331666,32.943599039331666,2182388.74,71895739.59851225
2,1.8,18.743599039331666,32.74359903933167,2173659.1850400004,71173424.80311021
3,1.6,18.543599039331667,32.54359903933167,2164964.54829984,70455738.1942378
4,1.4,18.343599039331664,32.343599039331664,2156304.690106641,69742654.30343951
5,1.3,18.243599039331666,32.24359903933167,2147679.4713462144,69248915.73909114
6,1.3,18.243599039331666,32.24359903933167,2139088.7534608296,68971920.07613479
7,1.3,18.243599039331666,32.24359903933167,2130532.3984469865,68696032.39583024
8,1.3,18.243599039331666,32.24359903933167,2122010.2688531983,68421248.26624693
9,1.3,18.243599039331666,32.24359903933167,2113522.2277777856,68147563.27318195
10,1.3,18.243599039331666,32.24359903933167,2105068.1388666746,67874973.02008921
11,0.3,17.243599039331666,31.243599039331666,2096647.8663112079,65506825.26169764
12,0.3,17.243599039331666,15.436966586610971,2088261.274845963,32236419.52391076
13,0.3,17.243599039331666,14.0,2079908.2297465792,29118715.216452107
14,0.3,17.243599039331666,14.0,2071588.596827593,29002240.3555863
15,0.3,17.243599039331666,14.0,2063302.2424402826,28886231.394163955
16,0.3,17.243599039331666,14.0,2055049.0334705214,28770686.4685873
17,0.3,17.243599039331666,14.0,2046828.8373366394,28655603.722712953
18,0.3,17.243599039331666,14.0,2038641.521987293,28540981.3078221
19,0.3,17.243599039331666,14.0,2030486.9558993438,28426817.382590815
20,0.3,17.243599039331666,14.0,2022365.0080757465,28313110.113060452
